Current (A)= 1.0E-5
Energy (V)= 8000.0
Mass (u)= 40.0
Emittance (m-rad)= 9.45E-7

    Z      	  a (m)    	   a'    	  b (m) 	   b'

0E0	1E-3	3E-2	1E-3	3E-2
1E-5	1.0003E-3	3.000058E-2	1.0003E-3	3.000058E-2
2E-5	1.0006E-3	3.000116E-2	1.0006E-3	3.000116E-2
3E-5	1.0009E-3	3.000174E-2	1.0009E-3	3.000174E-2
4E-5	1.0012E-3	3.000232E-2	1.0012E-3	3.000232E-2
5E-5	1.0015E-3	3.00029E-2	1.0015E-3	3.00029E-2
6E-5	1.0018E-3	3.000348E-2	1.0018E-3	3.000348E-2
7E-5	1.0021E-3	3.000406E-2	1.0021E-3	3.000406E-2
8E-5	1.0024E-3	3.000464E-2	1.0024E-3	3.000464E-2
9E-5	1.0027E-3	3.000522E-2	1.0027E-3	3.000522E-2
1E-4	1.003E-3	3.00058E-2	1.003E-3	3.00058E-2
1.1E-4	1.0033E-3	3.000638E-2	1.0033E-3	3.000638E-2
1.2E-4	1.0036E-3	3.000696E-2	1.0036E-3	3.000696E-2
1.3E-4	1.0039E-3	3.000754E-2	1.0039E-3	3.000754E-2
1.4E-4	1.004201E-3	3.000811E-2	1.004201E-3	3.000811E-2
1.5E-4	1.004501E-3	3.000869E-2	1.004501E-3	3.000869E-2
1.6E-4	1.004801E-3	3.000927E-2	1.004801E-3	3.000927E-2
1.7E-4	1.005101E-3	3.000985E-2	1.005101E-3	3.000985E-2
1.8E-4	1.005401E-3	3.001043E-2	1.005401E-3	3.001043E-2
1.9E-4	1.005701E-3	3.0011E-2	1.005701E-3	3.0011E-2
2E-4	1.006001E-3	3.001158E-2	1.006001E-3	3.001158E-2
2.1E-4	1.006301E-3	3.001216E-2	1.006301E-3	3.001216E-2
2.2E-4	1.006601E-3	3.001273E-2	1.006601E-3	3.001273E-2
2.3E-4	1.006902E-3	3.001331E-2	1.006902E-3	3.001331E-2
2.4E-4	1.007202E-3	3.001389E-2	1.007202E-3	3.001389E-2
2.5E-4	1.007502E-3	3.001446E-2	1.007502E-3	3.001446E-2
2.6E-4	1.007802E-3	3.001504E-2	1.007802E-3	3.001504E-2
2.7E-4	1.008102E-3	3.001562E-2	1.008102E-3	3.001562E-2
2.8E-4	1.008402E-3	3.001619E-2	1.008402E-3	3.001619E-2
2.9E-4	1.008702E-3	3.001677E-2	1.008702E-3	3.001677E-2
3E-4	1.009003E-3	3.001734E-2	1.009003E-3	3.001734E-2
3.1E-4	1.009303E-3	3.001792E-2	1.009303E-3	3.001792E-2
3.2E-4	1.009603E-3	3.001849E-2	1.009603E-3	3.001849E-2
3.3E-4	1.009903E-3	3.001907E-2	1.009903E-3	3.001907E-2
3.4E-4	1.010203E-3	3.001964E-2	1.010203E-3	3.001964E-2
3.5E-4	1.010504E-3	3.002022E-2	1.010504E-3	3.002022E-2
3.6E-4	1.010804E-3	3.002079E-2	1.010804E-3	3.002079E-2
3.7E-4	1.011104E-3	3.002137E-2	1.011104E-3	3.002137E-2
3.8E-4	1.011404E-3	3.002194E-2	1.011404E-3	3.002194E-2
3.9E-4	1.011704E-3	3.002252E-2	1.011704E-3	3.002252E-2
4E-4	1.012005E-3	3.002309E-2	1.012005E-3	3.002309E-2
4.1E-4	1.012305E-3	3.002366E-2	1.012305E-3	3.002366E-2
4.2E-4	1.012605E-3	3.002424E-2	1.012605E-3	3.002424E-2
4.3E-4	1.012905E-3	3.002481E-2	1.012905E-3	3.002481E-2
4.4E-4	1.013206E-3	3.002538E-2	1.013206E-3	3.002538E-2
4.5E-4	1.013506E-3	3.002596E-2	1.013506E-3	3.002596E-2
4.6E-4	1.013806E-3	3.002653E-2	1.013806E-3	3.002653E-2
4.7E-4	1.014106E-3	3.00271E-2	1.014106E-3	3.00271E-2
