Current (A)= 1.0E-5
Energy (V)= 8000.0
Mass (u)= 40.0
Emittance (m-rad)= 9.45E-7

    Z      	  a (m)    	   a'    	  b (m) 	   b'

0E0	1.25E-4	0E0	1.25E-4	0E0
1E-5	1.25E-4	9.147176E-6	1.25E-4	9.147176E-6
2E-5	1.250002E-4	1.829434E-5	1.250002E-4	1.829434E-5
3E-5	1.250004E-4	2.744147E-5	1.250004E-4	2.744147E-5
4E-5	1.250007E-4	3.658857E-5	1.250007E-4	3.658857E-5
5E-5	1.250011E-4	4.573561E-5	1.250011E-4	4.573561E-5
6E-5	1.250016E-4	5.488259E-5	1.250016E-4	5.488259E-5
7E-5	1.250022E-4	6.402948E-5	1.250022E-4	6.402948E-5
8E-5	1.250029E-4	7.317628E-5	1.250029E-4	7.317628E-5
9E-5	1.250037E-4	8.232298E-5	1.250037E-4	8.232298E-5
1E-4	1.250046E-4	9.146955E-5	1.250046E-4	9.146955E-5
1.1E-4	1.250055E-4	1.00616E-4	1.250055E-4	1.00616E-4
1.2E-4	1.250066E-4	1.097623E-4	1.250066E-4	1.097623E-4
1.3E-4	1.250077E-4	1.189084E-4	1.250077E-4	1.189084E-4
1.4E-4	1.25009E-4	1.280544E-4	1.25009E-4	1.280544E-4
1.5E-4	1.250103E-4	1.372001E-4	1.250103E-4	1.372001E-4
1.6E-4	1.250117E-4	1.463457E-4	1.250117E-4	1.463457E-4
1.7E-4	1.250132E-4	1.554911E-4	1.250132E-4	1.554911E-4
1.8E-4	1.250148E-4	1.646362E-4	1.250148E-4	1.646362E-4
1.9E-4	1.250165E-4	1.737811E-4	1.250165E-4	1.737811E-4
2E-4	1.250183E-4	1.829257E-4	1.250183E-4	1.829257E-4
2.1E-4	1.250202E-4	1.920701E-4	1.250202E-4	1.920701E-4
2.2E-4	1.250221E-4	2.012142E-4	1.250221E-4	2.012142E-4
2.3E-4	1.250242E-4	2.10358E-4	1.250242E-4	2.10358E-4
2.4E-4	1.250263E-4	2.195014E-4	1.250263E-4	2.195014E-4
2.5E-4	1.250286E-4	2.286446E-4	1.250286E-4	2.286446E-4
2.6E-4	1.250309E-4	2.377874E-4	1.250309E-4	2.377874E-4
2.7E-4	1.250333E-4	2.469299E-4	1.250333E-4	2.469299E-4
2.8E-4	1.250359E-4	2.56072E-4	1.250359E-4	2.56072E-4
2.9E-4	1.250385E-4	2.652138E-4	1.250385E-4	2.652138E-4
3E-4	1.250412E-4	2.743551E-4	1.250412E-4	2.743551E-4
3.1E-4	1.250439E-4	2.834961E-4	1.250439E-4	2.834961E-4
3.2E-4	1.250468E-4	2.926366E-4	1.250468E-4	2.926366E-4
3.3E-4	1.250498E-4	3.017767E-4	1.250498E-4	3.017767E-4
3.4E-4	1.250529E-4	3.109164E-4	1.250529E-4	3.109164E-4
3.5E-4	1.25056E-4	3.200556E-4	1.25056E-4	3.200556E-4
3.6E-4	1.250593E-4	3.291944E-4	1.250593E-4	3.291944E-4
3.7E-4	1.250626E-4	3.383327E-4	1.250626E-4	3.383327E-4
3.8E-4	1.25066E-4	3.474704E-4	1.25066E-4	3.474704E-4
3.9E-4	1.250696E-4	3.566077E-4	1.250696E-4	3.566077E-4
4E-4	1.250732E-4	3.657445E-4	1.250732E-4	3.657445E-4
4.1E-4	1.250769E-4	3.748807E-4	1.250769E-4	3.748807E-4
4.2E-4	1.250807E-4	3.840163E-4	1.250807E-4	3.840163E-4
4.3E-4	1.250845E-4	3.931514E-4	1.250845E-4	3.931514E-4
4.4E-4	1.250885E-4	4.02286E-4	1.250885E-4	4.02286E-4
4.5E-4	1.250926E-4	4.114199E-4	1.250926E-4	4.114199E-4
4.6E-4	1.250968E-4	4.205533E-4	1.250968E-4	4.205533E-4
4.7E-4	1.25101E-4	4.29686E-4	1.25101E-4	4.29686E-4
4.8E-4	1.251053E-4	4.388181E-4	1.251053E-4	4.388181E-4
4.9E-4	1.251098E-4	4.479496E-4	1.251098E-4	4.479496E-4
5E-4	1.251143E-4	4.570804E-4	1.251143E-4	4.570804E-4
5.1E-4	1.251189E-4	4.662105E-4	1.251189E-4	4.662105E-4
5.2E-4	1.251236E-4	4.7534E-4	1.251236E-4	4.7534E-4
