    Z      	  a(m)    	   a'    	  b(m) 	   b'

0E0	1.9E-4	0E0	1.9E-4	0E0
1E-6	1.9E-4	4.311772E-7	1.9E-4	4.311772E-7
2E-6	1.9E-4	8.623543E-7	1.9E-4	8.623543E-7
3E-6	1.9E-4	1.293531E-6	1.9E-4	1.293531E-6
4E-6	1.9E-4	1.724709E-6	1.9E-4	1.724709E-6
5E-6	1.9E-4	2.155886E-6	1.9E-4	2.155886E-6
6E-6	1.9E-4	2.587063E-6	1.9E-4	2.587063E-6
7E-6	1.9E-4	3.01824E-6	1.9E-4	3.01824E-6
8E-6	1.9E-4	3.449417E-6	1.9E-4	3.449417E-6
9E-6	1.9E-4	3.880594E-6	1.9E-4	3.880594E-6
1E-5	1.9E-4	4.311771E-6	1.9E-4	4.311771E-6
1.1E-5	1.9E-4	4.742948E-6	1.9E-4	4.742948E-6
1.2E-5	1.9E-4	5.174126E-6	1.9E-4	5.174126E-6
1.3E-5	1.9E-4	5.605303E-6	1.9E-4	5.605303E-6
1.4E-5	1.9E-4	6.03648E-6	1.9E-4	6.03648E-6
1.5E-5	1.9E-4	6.467657E-6	1.9E-4	6.467657E-6
1.6E-5	1.900001E-4	6.898834E-6	1.900001E-4	6.898834E-6
1.7E-5	1.900001E-4	7.330011E-6	1.900001E-4	7.330011E-6
1.8E-5	1.900001E-4	7.761187E-6	1.900001E-4	7.761187E-6
1.9E-5	1.900001E-4	8.192364E-6	1.900001E-4	8.192364E-6
2E-5	1.900001E-4	8.623541E-6	1.900001E-4	8.623541E-6
2.1E-5	1.900001E-4	9.054718E-6	1.900001E-4	9.054718E-6
2.2E-5	1.900001E-4	9.485895E-6	1.900001E-4	9.485895E-6
2.3E-5	1.900001E-4	9.917072E-6	1.900001E-4	9.917072E-6
2.4E-5	1.900001E-4	1.034825E-5	1.900001E-4	1.034825E-5
2.5E-5	1.900001E-4	1.077943E-5	1.900001E-4	1.077943E-5
2.6E-5	1.900001E-4	1.12106E-5	1.900001E-4	1.12106E-5
2.7E-5	1.900002E-4	1.164178E-5	1.900002E-4	1.164178E-5
2.8E-5	1.900002E-4	1.207295E-5	1.900002E-4	1.207295E-5
2.9E-5	1.900002E-4	1.250413E-5	1.900002E-4	1.250413E-5
