    Z      	  a(m)    	   a'    	  b(m) 	   b'

0E0	3E-4	9E-3	3E-4	9E-3
1E-5	3.0009E-4	9.001906E-3	3.0009E-4	9.001906E-3
2E-5	3.0018E-4	9.003811E-3	3.0018E-4	9.003811E-3
3E-5	3.002701E-4	9.005716E-3	3.002701E-4	9.005716E-3
4E-5	3.003602E-4	9.00762E-3	3.003602E-4	9.00762E-3
5E-5	3.004502E-4	9.009524E-3	3.004502E-4	9.009524E-3
6E-5	3.005403E-4	9.011427E-3	3.005403E-4	9.011427E-3
7E-5	3.006305E-4	9.01333E-3	3.006305E-4	9.01333E-3
8E-5	3.007206E-4	9.015232E-3	3.007206E-4	9.015232E-3
9E-5	3.008108E-4	9.017133E-3	3.008108E-4	9.017133E-3
1E-4	3.00901E-4	9.019034E-3	3.00901E-4	9.019034E-3
1.1E-4	3.009912E-4	9.020934E-3	3.009912E-4	9.020934E-3
1.2E-4	3.010814E-4	9.022834E-3	3.010814E-4	9.022834E-3
1.3E-4	3.011716E-4	9.024733E-3	3.011716E-4	9.024733E-3
1.4E-4	3.012619E-4	9.026632E-3	3.012619E-4	9.026632E-3
1.5E-4	3.013521E-4	9.02853E-3	3.013521E-4	9.02853E-3
1.6E-4	3.014424E-4	9.030427E-3	3.014424E-4	9.030427E-3
1.7E-4	3.015327E-4	9.032324E-3	3.015327E-4	9.032324E-3
1.8E-4	3.016231E-4	9.03422E-3	3.016231E-4	9.03422E-3
1.9E-4	3.017134E-4	9.036116E-3	3.017134E-4	9.036116E-3
2E-4	3.018038E-4	9.038011E-3	3.018038E-4	9.038011E-3
2.1E-4	3.018942E-4	9.039906E-3	3.018942E-4	9.039906E-3
2.2E-4	3.019846E-4	9.0418E-3	3.019846E-4	9.0418E-3
2.3E-4	3.02075E-4	9.043693E-3	3.02075E-4	9.043693E-3
2.4E-4	3.021655E-4	9.045586E-3	3.021655E-4	9.045586E-3
2.5E-4	3.022559E-4	9.047478E-3	3.022559E-4	9.047478E-3
2.6E-4	3.023464E-4	9.04937E-3	3.023464E-4	9.04937E-3
2.7E-4	3.024369E-4	9.051261E-3	3.024369E-4	9.051261E-3
2.8E-4	3.025275E-4	9.053152E-3	3.025275E-4	9.053152E-3
2.9E-4	3.02618E-4	9.055042E-3	3.02618E-4	9.055042E-3
3E-4	3.027086E-4	9.056931E-3	3.027086E-4	9.056931E-3
3.1E-4	3.027991E-4	9.05882E-3	3.027991E-4	9.05882E-3
3.2E-4	3.028897E-4	9.060709E-3	3.028897E-4	9.060709E-3
3.3E-4	3.029803E-4	9.062596E-3	3.029803E-4	9.062596E-3
3.4E-4	3.03071E-4	9.064484E-3	3.03071E-4	9.064484E-3
3.5E-4	3.031616E-4	9.06637E-3	3.031616E-4	9.06637E-3
3.6E-4	3.032523E-4	9.068256E-3	3.032523E-4	9.068256E-3
3.7E-4	3.03343E-4	9.070142E-3	3.03343E-4	9.070142E-3
3.8E-4	3.034337E-4	9.072027E-3	3.034337E-4	9.072027E-3
3.9E-4	3.035244E-4	9.073911E-3	3.035244E-4	9.073911E-3
4E-4	3.036152E-4	9.075795E-3	3.036152E-4	9.075795E-3
4.1E-4	3.03706E-4	9.077678E-3	3.03706E-4	9.077678E-3
4.2E-4	3.037967E-4	9.079561E-3	3.037967E-4	9.079561E-3
4.3E-4	3.038875E-4	9.081443E-3	3.038875E-4	9.081443E-3
4.4E-4	3.039784E-4	9.083325E-3	3.039784E-4	9.083325E-3
4.5E-4	3.040692E-4	9.085206E-3	3.040692E-4	9.085206E-3
4.6E-4	3.041601E-4	9.087086E-3	3.041601E-4	9.087086E-3
4.7E-4	3.04251E-4	9.088966E-3	3.04251E-4	9.088966E-3
4.8E-4	3.043419E-4	9.090846E-3	3.043419E-4	9.090846E-3
4.9E-4	3.044328E-4	9.092724E-3	3.044328E-4	9.092724E-3
5E-4	3.045237E-4	9.094603E-3	3.045237E-4	9.094603E-3
5.1E-4	3.046147E-4	9.09648E-3	3.046147E-4	9.09648E-3
5.2E-4	3.047056E-4	9.098357E-3	3.047056E-4	9.098357E-3
5.3E-4	3.047966E-4	9.100234E-3	3.047966E-4	9.100234E-3
5.4E-4	3.048876E-4	9.10211E-3	3.048876E-4	9.10211E-3
5.5E-4	3.049787E-4	9.103985E-3	3.049787E-4	9.103985E-3
