    Z      	  a(m)    	   a'    	  b(m) 	   b'
0E0	2.5E-4	5E-3	2.5E-4	-5E-3
1E-5	2.5005E-4	5.002541E-3	2.4995E-4	-4.997458E-3
2E-5	2.501001E-4	5.005083E-3	2.499001E-4	-4.994917E-3
3E-5	2.501501E-4	5.007624E-3	2.498501E-4	-4.992375E-3
4E-5	2.502002E-4	5.010165E-3	2.498002E-4	-4.989833E-3
5E-5	2.502503E-4	5.012705E-3	2.497503E-4	-4.987291E-3
6E-5	2.503005E-4	5.015246E-3	2.497005E-4	-4.984748E-3
7E-5	2.503506E-4	5.017786E-3	2.496506E-4	-4.982206E-3
8E-5	2.504008E-4	5.020327E-3	2.496008E-4	-4.979663E-3
9E-5	2.50451E-4	5.022867E-3	2.49551E-4	-4.977121E-3
1E-4	2.505013E-4	5.025407E-3	2.495013E-4	-4.974578E-3
1.1E-4	2.505515E-4	5.027947E-3	2.494515E-4	-4.972035E-3
1.2E-4	2.506018E-4	5.030487E-3	2.494018E-4	-4.969492E-3
1.3E-4	2.506521E-4	5.033026E-3	2.493521E-4	-4.966948E-3
1.4E-4	2.507025E-4	5.035565E-3	2.493025E-4	-4.964405E-3
1.5E-4	2.507529E-4	5.038105E-3	2.492529E-4	-4.961861E-3
1.6E-4	2.508033E-4	5.040644E-3	2.492033E-4	-4.959317E-3
1.7E-4	2.508537E-4	5.043183E-3	2.491537E-4	-4.956773E-3
1.8E-4	2.509041E-4	5.045721E-3	2.491041E-4	-4.954229E-3
1.9E-4	2.509546E-4	5.04826E-3	2.490546E-4	-4.951685E-3
2E-4	2.510051E-4	5.050798E-3	2.490051E-4	-4.949141E-3
2.1E-4	2.510556E-4	5.053337E-3	2.489556E-4	-4.946596E-3
2.2E-4	2.511061E-4	5.055875E-3	2.489062E-4	-4.944051E-3
2.3E-4	2.511567E-4	5.058413E-3	2.488567E-4	-4.941506E-3
2.4E-4	2.512073E-4	5.060951E-3	2.488073E-4	-4.938961E-3
2.5E-4	2.512579E-4	5.063488E-3	2.487579E-4	-4.936416E-3
2.6E-4	2.513086E-4	5.066026E-3	2.487086E-4	-4.933871E-3
2.7E-4	2.513593E-4	5.068563E-3	2.486593E-4	-4.931326E-3
2.8E-4	2.5141E-4	5.0711E-3	2.4861E-4	-4.92878E-3
2.9E-4	2.514607E-4	5.073638E-3	2.485607E-4	-4.926234E-3
3E-4	2.515114E-4	5.076174E-3	2.485114E-4	-4.923688E-3
3.1E-4	2.515622E-4	5.078711E-3	2.484622E-4	-4.921142E-3
3.2E-4	2.51613E-4	5.081248E-3	2.48413E-4	-4.918596E-3
3.3E-4	2.516638E-4	5.083784E-3	2.483638E-4	-4.91605E-3
3.4E-4	2.517147E-4	5.08632E-3	2.483147E-4	-4.913503E-3
3.5E-4	2.517656E-4	5.088856E-3	2.482656E-4	-4.910957E-3
3.6E-4	2.518165E-4	5.091392E-3	2.482165E-4	-4.90841E-3
3.7E-4	2.518674E-4	5.093928E-3	2.481674E-4	-4.905863E-3
3.8E-4	2.519183E-4	5.096464E-3	2.481184E-4	-4.903316E-3
3.9E-4	2.519693E-4	5.098999E-3	2.480693E-4	-4.900769E-3
4E-4	2.520203E-4	5.101535E-3	2.480203E-4	-4.898222E-3
4.1E-4	2.520713E-4	5.10407E-3	2.479714E-4	-4.895674E-3
4.2E-4	2.521224E-4	5.106605E-3	2.479224E-4	-4.893127E-3
4.3E-4	2.521735E-4	5.109139E-3	2.478735E-4	-4.890579E-3
4.4E-4	2.522246E-4	5.111674E-3	2.478246E-4	-4.888031E-3
4.5E-4	2.522757E-4	5.114209E-3	2.477758E-4	-4.885483E-3
4.6E-4	2.523269E-4	5.116743E-3	2.477269E-4	-4.882935E-3
4.7E-4	2.52378E-4	5.119277E-3	2.476781E-4	-4.880386E-3
