    Z      	  a(m)    	   a'    	  b(m) 	   b'
0E0	3E-4	9E-3	3E-4	9E-3
9E-6	3.00081E-4	9.000687E-3	3.00081E-4	9.000687E-3
1.8E-5	3.00162E-4	9.001374E-3	3.00162E-4	9.001374E-3
2.7E-5	3.00243E-4	9.00206E-3	3.00243E-4	9.00206E-3
3.6E-5	3.00324E-4	9.002746E-3	3.00324E-4	9.002746E-3
4.5E-5	3.004051E-4	9.003431E-3	3.004051E-4	9.003431E-3
5.4E-5	3.004861E-4	9.004116E-3	3.004861E-4	9.004116E-3
6.3E-5	3.005672E-4	9.0048E-3	3.005672E-4	9.0048E-3
7.2E-5	3.006482E-4	9.005483E-3	3.006482E-4	9.005483E-3
8.1E-5	3.007293E-4	9.006166E-3	3.007293E-4	9.006166E-3
9E-5	3.008103E-4	9.006848E-3	3.008103E-4	9.006848E-3
9.9E-5	3.008914E-4	9.00753E-3	3.008914E-4	9.00753E-3
1.08E-4	3.009724E-4	9.008212E-3	3.009724E-4	9.008212E-3
1.17E-4	3.010535E-4	9.008892E-3	3.010535E-4	9.008892E-3
1.26E-4	3.011346E-4	9.009573E-3	3.011346E-4	9.009573E-3
1.35E-4	3.012157E-4	9.010252E-3	3.012157E-4	9.010252E-3
1.44E-4	3.012968E-4	9.010931E-3	3.012968E-4	9.010931E-3
1.53E-4	3.013779E-4	9.01161E-3	3.013779E-4	9.01161E-3
1.62E-4	3.01459E-4	9.012288E-3	3.01459E-4	9.012288E-3
1.71E-4	3.015401E-4	9.012965E-3	3.015401E-4	9.012965E-3
1.8E-4	3.016212E-4	9.013642E-3	3.016212E-4	9.013642E-3
1.89E-4	3.017024E-4	9.014319E-3	3.017024E-4	9.014319E-3
1.98E-4	3.017835E-4	9.014995E-3	3.017835E-4	9.014995E-3
2.07E-4	3.018646E-4	9.01567E-3	3.018646E-4	9.01567E-3
2.16E-4	3.019458E-4	9.016345E-3	3.019458E-4	9.016345E-3
2.25E-4	3.020269E-4	9.017019E-3	3.020269E-4	9.017019E-3
2.34E-4	3.021081E-4	9.017693E-3	3.021081E-4	9.017693E-3
2.43E-4	3.021892E-4	9.018366E-3	3.021892E-4	9.018366E-3
2.52E-4	3.022704E-4	9.019039E-3	3.022704E-4	9.019039E-3
2.61E-4	3.023516E-4	9.019711E-3	3.023516E-4	9.019711E-3
2.7E-4	3.024328E-4	9.020383E-3	3.024328E-4	9.020383E-3
2.79E-4	3.025139E-4	9.021054E-3	3.025139E-4	9.021054E-3
2.88E-4	3.025951E-4	9.021724E-3	3.025951E-4	9.021724E-3
2.97E-4	3.026763E-4	9.022394E-3	3.026763E-4	9.022394E-3
3.06E-4	3.027575E-4	9.023064E-3	3.027575E-4	9.023064E-3
3.15E-4	3.028388E-4	9.023733E-3	3.028388E-4	9.023733E-3
3.24E-4	3.0292E-4	9.024401E-3	3.0292E-4	9.024401E-3
3.33E-4	3.030012E-4	9.025069E-3	3.030012E-4	9.025069E-3
3.42E-4	3.030824E-4	9.025737E-3	3.030824E-4	9.025737E-3
3.51E-4	3.031637E-4	9.026404E-3	3.031637E-4	9.026404E-3
3.6E-4	3.032449E-4	9.02707E-3	3.032449E-4	9.02707E-3
3.69E-4	3.033261E-4	9.027736E-3	3.033261E-4	9.027736E-3
3.78E-4	3.034074E-4	9.028401E-3	3.034074E-4	9.028401E-3
3.87E-4	3.034887E-4	9.029066E-3	3.034887E-4	9.029066E-3
3.96E-4	3.035699E-4	9.02973E-3	3.035699E-4	9.02973E-3
4.05E-4	3.036512E-4	9.030394E-3	3.036512E-4	9.030394E-3
4.14E-4	3.037325E-4	9.031057E-3	3.037325E-4	9.031057E-3
4.23E-4	3.038138E-4	9.031719E-3	3.038138E-4	9.031719E-3
4.32E-4	3.03895E-4	9.032382E-3	3.03895E-4	9.032382E-3
4.41E-4	3.039763E-4	9.033043E-3	3.039763E-4	9.033043E-3
4.5E-4	3.040576E-4	9.033704E-3	3.040576E-4	9.033704E-3
4.59E-4	3.041389E-4	9.034365E-3	3.041389E-4	9.034365E-3
4.68E-4	3.042203E-4	9.035025E-3	3.042203E-4	9.035025E-3
4.77E-4	3.043016E-4	9.035684E-3	3.043016E-4	9.035684E-3
4.86E-4	3.043829E-4	9.036343E-3	3.043829E-4	9.036343E-3
4.95E-4	3.044642E-4	9.037002E-3	3.044642E-4	9.037002E-3
5.04E-4	3.045456E-4	9.03766E-3	3.045456E-4	9.03766E-3
5.13E-4	3.046269E-4	9.038317E-3	3.046269E-4	9.038317E-3
5.22E-4	3.047083E-4	9.038974E-3	3.047083E-4	9.038974E-3
5.31E-4	3.047896E-4	9.03963E-3	3.047896E-4	9.03963E-3
5.4E-4	3.04871E-4	9.040286E-3	3.04871E-4	9.040286E-3
5.49E-4	3.049523E-4	9.040942E-3	3.049523E-4	9.040942E-3
5.58E-4	3.050337E-4	9.041597E-3	3.050337E-4	9.041597E-3
5.67E-4	3.051151E-4	9.042251E-3	3.051151E-4	9.042251E-3
5.76E-4	3.051965E-4	9.042905E-3	3.051965E-4	9.042905E-3
5.85E-4	3.052779E-4	9.043558E-3	3.052779E-4	9.043558E-3
5.94E-4	3.053592E-4	9.044211E-3	3.053592E-4	9.044211E-3
6.03E-4	3.054406E-4	9.044863E-3	3.054406E-4	9.044863E-3
6.12E-4	3.055221E-4	9.045515E-3	3.055221E-4	9.045515E-3
6.21E-4	3.056035E-4	9.046166E-3	3.056035E-4	9.046166E-3
6.3E-4	3.056849E-4	9.046817E-3	3.056849E-4	9.046817E-3
6.39E-4	3.057663E-4	9.047467E-3	3.057663E-4	9.047467E-3
6.48E-4	3.058477E-4	9.048117E-3	3.058477E-4	9.048117E-3
6.57E-4	3.059292E-4	9.048766E-3	3.059292E-4	9.048766E-3
6.66E-4	3.060106E-4	9.049415E-3	3.060106E-4	9.049415E-3
6.75E-4	3.060921E-4	9.050063E-3	3.060921E-4	9.050063E-3
6.84E-4	3.061735E-4	9.050711E-3	3.061735E-4	9.050711E-3
6.93E-4	3.06255E-4	9.051358E-3	3.06255E-4	9.051358E-3
7.02E-4	3.063364E-4	9.052004E-3	3.063364E-4	9.052004E-3
7.11E-4	3.064179E-4	9.05265E-3	3.064179E-4	9.05265E-3
7.2E-4	3.064994E-4	9.053296E-3	3.064994E-4	9.053296E-3
7.29E-4	3.065809E-4	9.053941E-3	3.065809E-4	9.053941E-3
7.38E-4	3.066624E-4	9.054586E-3	3.066624E-4	9.054586E-3
7.47E-4	3.067439E-4	9.05523E-3	3.067439E-4	9.05523E-3
7.56E-4	3.068254E-4	9.055874E-3	3.068254E-4	9.055874E-3
7.65E-4	3.069069E-4	9.056517E-3	3.069069E-4	9.056517E-3
7.74E-4	3.069884E-4	9.057159E-3	3.069884E-4	9.057159E-3
7.83E-4	3.070699E-4	9.057801E-3	3.070699E-4	9.057801E-3
7.92E-4	3.071514E-4	9.058443E-3	3.071514E-4	9.058443E-3
8.01E-4	3.072329E-4	9.059084E-3	3.072329E-4	9.059084E-3
8.1E-4	3.073145E-4	9.059725E-3	3.073145E-4	9.059725E-3
8.19E-4	3.07396E-4	9.060365E-3	3.07396E-4	9.060365E-3
8.28E-4	3.074776E-4	9.061004E-3	3.074776E-4	9.061004E-3
8.37E-4	3.075591E-4	9.061644E-3	3.075591E-4	9.061644E-3
8.46E-4	3.076407E-4	9.062282E-3	3.076407E-4	9.062282E-3
8.55E-4	3.077222E-4	9.06292E-3	3.077222E-4	9.06292E-3
8.64E-4	3.078038E-4	9.063558E-3	3.078038E-4	9.063558E-3
8.73E-4	3.078854E-4	9.064195E-3	3.078854E-4	9.064195E-3
8.82E-4	3.07967E-4	9.064832E-3	3.07967E-4	9.064832E-3
8.91E-4	3.080485E-4	9.065468E-3	3.080485E-4	9.065468E-3
9E-4	3.081301E-4	9.066103E-3	3.081301E-4	9.066103E-3
9.169E-4	3.082815E-4	8.852061E-3	3.082852E-4	9.282531E-3
9.338E-4	3.084293E-4	8.637912E-3	3.084439E-4	9.499067E-3
9.507E-4	3.085735E-4	8.423659E-3	3.086063E-4	9.715713E-3
9.676E-4	3.087141E-4	8.209306E-3	3.087723E-4	9.932472E-3
9.845E-4	3.08851E-4	7.994854E-3	3.08942E-4	1.014935E-2
1.0014E-3	3.089843E-4	7.780306E-3	3.091153E-4	1.036634E-2
1.0183E-3	3.09114E-4	7.565665E-3	3.092924E-4	1.058345E-2
1.0352E-3	3.0924E-4	7.350933E-3	3.09473E-4	1.080068E-2
1.0521E-3	3.093624E-4	7.136113E-3	3.096574E-4	1.101805E-2
1.069E-3	3.094812E-4	6.921207E-3	3.098455E-4	1.123553E-2
1.0859E-3	3.095964E-4	6.706218E-3	3.100372E-4	1.145315E-2
1.1028E-3	3.097079E-4	6.491149E-3	3.102326E-4	1.167091E-2
1.1197E-3	3.098158E-4	6.276002E-3	3.104317E-4	1.188879E-2
1.1366E-3	3.0992E-4	6.06078E-3	3.106344E-4	1.210682E-2
1.1535E-3	3.100206E-4	5.845485E-3	3.108409E-4	1.232498E-2
1.1704E-3	3.101176E-4	5.63012E-3	3.11051E-4	1.254329E-2
1.1873E-3	3.102109E-4	5.414688E-3	3.112648E-4	1.276175E-2
1.2042E-3	3.103006E-4	5.19919E-3	3.114824E-4	1.298035E-2
1.2211E-3	3.103866E-4	4.98363E-3	3.117036E-4	1.319911E-2
1.238E-3	3.10469E-4	4.768011E-3	3.119285E-4	1.341801E-2
1.2549E-3	3.105478E-4	4.552334E-3	3.121571E-4	1.363708E-2
1.2718E-3	3.106229E-4	4.336603E-3	3.123894E-4	1.38563E-2
1.2887E-3	3.106944E-4	4.12082E-3	3.126254E-4	1.407568E-2
1.3056E-3	3.107622E-4	3.904987E-3	3.128652E-4	1.429523E-2
1.3225E-3	3.108264E-4	3.689108E-3	3.131086E-4	1.451494E-2
1.3394E-3	3.108869E-4	3.473184E-3	3.133558E-4	1.473482E-2
1.3563E-3	3.109438E-4	3.257218E-3	3.136067E-4	1.495488E-2
1.3732E-3	3.10997E-4	3.041214E-3	3.138613E-4	1.51751E-2
1.3901E-3	3.110465E-4	2.825173E-3	3.141196E-4	1.539551E-2
1.407E-3	3.110925E-4	2.609098E-3	3.143816E-4	1.561609E-2
1.4239E-3	3.111347E-4	2.392992E-3	3.146474E-4	1.583685E-2
1.4408E-3	3.111733E-4	2.176857E-3	3.149169E-4	1.60578E-2
1.4577E-3	3.112083E-4	1.960696E-3	3.151902E-4	1.627893E-2
1.4746E-3	3.112396E-4	1.744512E-3	3.154671E-4	1.650025E-2
1.4915E-3	3.112673E-4	1.528307E-3	3.157479E-4	1.672177E-2
1.5084E-3	3.112913E-4	1.312083E-3	3.160323E-4	1.694348E-2
1.5253E-3	3.113116E-4	1.095844E-3	3.163206E-4	1.716539E-2
1.5422E-3	3.113283E-4	8.795912E-4	3.166125E-4	1.738749E-2
1.5591E-3	3.113414E-4	6.633281E-4	3.169083E-4	1.76098E-2
1.576E-3	3.113507E-4	4.47057E-4	3.172077E-4	1.783231E-2
1.5929E-3	3.113565E-4	2.307806E-4	3.17511E-4	1.805503E-2
1.6098E-3	3.113585E-4	1.450136E-5	3.17818E-4	1.827797E-2
1.6267E-3	3.11357E-4	-2.01778E-4	3.181288E-4	1.850111E-2
1.6436E-3	3.113517E-4	-4.18055E-4	3.184433E-4	1.872447E-2
1.6605E-3	3.113428E-4	-6.34327E-4	3.187617E-4	1.894804E-2
1.6774E-3	3.113303E-4	-8.505915E-4	3.190838E-4	1.917184E-2
1.6943E-3	3.113141E-4	-1.066846E-3	3.194097E-4	1.939586E-2
1.7112E-3	3.112942E-4	-1.283087E-3	3.197394E-4	1.962011E-2
1.7281E-3	3.112707E-4	-1.499313E-3	3.200728E-4	1.984458E-2
1.745E-3	3.112435E-4	-1.715521E-3	3.204101E-4	2.006928E-2
1.7619E-3	3.112127E-4	-1.931709E-3	3.207512E-4	2.029422E-2
1.7788E-3	3.111782E-4	-2.147873E-3	3.210961E-4	2.05194E-2
1.7957E-3	3.111401E-4	-2.364012E-3	3.214447E-4	2.074481E-2
1.8126E-3	3.110983E-4	-2.580123E-3	3.217972E-4	2.097046E-2
1.8295E-3	3.110529E-4	-2.796202E-3	3.221535E-4	2.119636E-2
1.8464E-3	3.110038E-4	-3.012248E-3	3.225137E-4	2.142251E-2
1.8633E-3	3.109511E-4	-3.228258E-3	3.228776E-4	2.16489E-2
1.8802E-3	3.108947E-4	-3.444229E-3	3.232454E-4	2.187555E-2
1.8971E-3	3.108347E-4	-3.660159E-3	3.23617E-4	2.210245E-2
1.914E-3	3.10771E-4	-3.876045E-3	3.239925E-4	2.232961E-2
1.9309E-3	3.107037E-4	-4.091885E-3	3.243718E-4	2.255703E-2
1.9478E-3	3.106327E-4	-4.307675E-3	3.247549E-4	2.278471E-2
1.9647E-3	3.105581E-4	-4.523414E-3	3.251419E-4	2.301266E-2
1.9816E-3	3.104798E-4	-4.739099E-3	3.255327E-4	2.324087E-2
1.9985E-3	3.103979E-4	-4.954727E-3	3.259274E-4	2.346936E-2
2.0154E-3	3.103123E-4	-5.170295E-3	3.26326E-4	2.369812E-2
2.0323E-3	3.102231E-4	-5.385802E-3	3.267284E-4	2.392715E-2
2.0492E-3	3.101303E-4	-5.601244E-3	3.271347E-4	2.415647E-2
2.0661E-3	3.100338E-4	-5.816619E-3	3.275449E-4	2.438606E-2
2.083E-3	3.099337E-4	-6.031924E-3	3.27959E-4	2.461594E-2
2.0999E-3	3.098299E-4	-6.247157E-3	3.283769E-4	2.484611E-2
2.1168E-3	3.097225E-4	-6.462315E-3	3.287988E-4	2.507657E-2
2.1337E-3	3.096115E-4	-6.677395E-3	3.292245E-4	2.530731E-2
2.1506E-3	3.094969E-4	-6.892396E-3	3.296542E-4	2.553836E-2
2.1675E-3	3.093786E-4	-7.107314E-3	3.300877E-4	2.57697E-2
2.1844E-3	3.092566E-4	-7.322146E-3	3.305252E-4	2.600134E-2
2.2013E-3	3.091311E-4	-7.536891E-3	3.309666E-4	2.623328E-2
2.2182E-3	3.090019E-4	-7.751546E-3	3.314119E-4	2.646553E-2
2.2351E-3	3.088691E-4	-7.966107E-3	3.318611E-4	2.669809E-2
2.252E-3	3.087326E-4	-8.180573E-3	3.323143E-4	2.693096E-2
2.2689E-3	3.085926E-4	-8.394941E-3	3.327714E-4	2.716415E-2
2.2858E-3	3.084489E-4	-8.609208E-3	3.332324E-4	2.739765E-2
2.3027E-3	3.083016E-4	-8.823372E-3	3.336974E-4	2.763147E-2
2.3196E-3	3.081506E-4	-9.037431E-3	3.341664E-4	2.786561E-2
2.3365E-3	3.079961E-4	-9.25138E-3	3.346393E-4	2.810008E-2
2.3534E-3	3.078379E-4	-9.465219E-3	3.351162E-4	2.833487E-2
2.3703E-3	3.076762E-4	-9.678945E-3	3.35597E-4	2.857E-2
2.3872E-3	3.075108E-4	-9.892554E-3	3.360818E-4	2.880546E-2
2.4041E-3	3.073418E-4	-1.010604E-2	3.365706E-4	2.904125E-2
2.421E-3	3.071692E-4	-1.031941E-2	3.370634E-4	2.927739E-2
2.4379E-3	3.06993E-4	-1.053266E-2	3.375602E-4	2.951386E-2
2.4548E-3	3.068132E-4	-1.074578E-2	3.38061E-4	2.975068E-2
2.4717E-3	3.066298E-4	-1.095877E-2	3.385658E-4	2.998785E-2
2.4886E-3	3.064428E-4	-1.117163E-2	3.390746E-4	3.022536E-2
2.5055E-3	3.062522E-4	-1.138435E-2	3.395874E-4	3.046323E-2
2.5224E-3	3.06058E-4	-1.159694E-2	3.401042E-4	3.070146E-2
2.5393E-3	3.058602E-4	-1.180939E-2	3.406251E-4	3.094004E-2
2.5562E-3	3.056589E-4	-1.20217E-2	3.4115E-4	3.117899E-2
2.5731E-3	3.054539E-4	-1.223386E-2	3.41679E-4	3.14183E-2
2.59E-3	3.052454E-4	-1.244588E-2	3.42212E-4	3.165797E-2
2.599E-3	3.051333E-4	-1.244523E-2	3.424969E-4	3.165844E-2
2.608E-3	3.050213E-4	-1.244457E-2	3.427818E-4	3.16589E-2
2.617E-3	3.049093E-4	-1.244392E-2	3.430667E-4	3.165937E-2
2.626E-3	3.047974E-4	-1.244326E-2	3.433517E-4	3.165983E-2
2.635E-3	3.046854E-4	-1.244261E-2	3.436366E-4	3.166029E-2
2.644E-3	3.045734E-4	-1.244195E-2	3.439216E-4	3.166075E-2
2.653E-3	3.044614E-4	-1.244129E-2	3.442065E-4	3.166121E-2
2.662E-3	3.043494E-4	-1.244064E-2	3.444915E-4	3.166167E-2
2.671E-3	3.042375E-4	-1.243998E-2	3.447764E-4	3.166213E-2
2.68E-3	3.041255E-4	-1.243932E-2	3.450614E-4	3.166259E-2
2.689E-3	3.040136E-4	-1.243866E-2	3.453464E-4	3.166304E-2
2.698E-3	3.039016E-4	-1.2438E-2	3.456313E-4	3.16635E-2
2.707E-3	3.037897E-4	-1.243734E-2	3.459163E-4	3.166395E-2
2.716E-3	3.036778E-4	-1.243668E-2	3.462013E-4	3.16644E-2
2.725E-3	3.035658E-4	-1.243601E-2	3.464863E-4	3.166485E-2
2.734E-3	3.034539E-4	-1.243535E-2	3.467712E-4	3.16653E-2
2.743E-3	3.03342E-4	-1.243469E-2	3.470562E-4	3.166575E-2
2.752E-3	3.032301E-4	-1.243402E-2	3.473412E-4	3.16662E-2
2.761E-3	3.031182E-4	-1.243336E-2	3.476262E-4	3.166665E-2
2.77E-3	3.030063E-4	-1.243269E-2	3.479112E-4	3.166709E-2
2.779E-3	3.028944E-4	-1.243202E-2	3.481962E-4	3.166754E-2
2.788E-3	3.027825E-4	-1.243135E-2	3.484812E-4	3.166798E-2
2.797E-3	3.026706E-4	-1.243069E-2	3.487663E-4	3.166842E-2
2.806E-3	3.025588E-4	-1.243002E-2	3.490513E-4	3.166887E-2
2.815E-3	3.024469E-4	-1.242935E-2	3.493363E-4	3.166931E-2
2.824E-3	3.02335E-4	-1.242868E-2	3.496213E-4	3.166975E-2
2.833E-3	3.022232E-4	-1.242801E-2	3.499063E-4	3.167018E-2
2.842E-3	3.021113E-4	-1.242733E-2	3.501914E-4	3.167062E-2
2.851E-3	3.019995E-4	-1.242666E-2	3.504764E-4	3.167106E-2
2.86E-3	3.018876E-4	-1.242599E-2	3.507615E-4	3.167149E-2
2.869E-3	3.017758E-4	-1.242531E-2	3.510465E-4	3.167193E-2
2.878E-3	3.01664E-4	-1.242464E-2	3.513316E-4	3.167236E-2
2.887E-3	3.015522E-4	-1.242396E-2	3.516166E-4	3.167279E-2
2.896E-3	3.014404E-4	-1.242329E-2	3.519017E-4	3.167322E-2
2.905E-3	3.013285E-4	-1.242261E-2	3.521867E-4	3.167365E-2
2.914E-3	3.012167E-4	-1.242193E-2	3.524718E-4	3.167408E-2
2.923E-3	3.01105E-4	-1.242125E-2	3.527569E-4	3.167451E-2
2.932E-3	3.009932E-4	-1.242057E-2	3.530419E-4	3.167494E-2
2.941E-3	3.008814E-4	-1.241989E-2	3.53327E-4	3.167536E-2
2.95E-3	3.007696E-4	-1.241921E-2	3.536121E-4	3.167579E-2
2.959E-3	3.006578E-4	-1.241853E-2	3.538972E-4	3.167621E-2
2.968E-3	3.005461E-4	-1.241785E-2	3.541823E-4	3.167664E-2
2.977E-3	3.004343E-4	-1.241717E-2	3.544674E-4	3.167706E-2
2.986E-3	3.003226E-4	-1.241648E-2	3.547524E-4	3.167748E-2
2.995E-3	3.002108E-4	-1.24158E-2	3.550375E-4	3.16779E-2
3.004E-3	3.000991E-4	-1.241511E-2	3.553227E-4	3.167832E-2
3.013E-3	2.999873E-4	-1.241443E-2	3.556078E-4	3.167874E-2
3.022E-3	2.998756E-4	-1.241374E-2	3.558929E-4	3.167915E-2
3.031E-3	2.997639E-4	-1.241305E-2	3.56178E-4	3.167957E-2
3.04E-3	2.996522E-4	-1.241236E-2	3.564631E-4	3.167999E-2
3.049E-3	2.995405E-4	-1.241168E-2	3.567482E-4	3.16804E-2
3.058E-3	2.994288E-4	-1.241099E-2	3.570333E-4	3.168081E-2
3.067E-3	2.993171E-4	-1.24103E-2	3.573185E-4	3.168123E-2
3.076E-3	2.992054E-4	-1.24096E-2	3.576036E-4	3.168164E-2
3.085E-3	2.990937E-4	-1.240891E-2	3.578887E-4	3.168205E-2
3.094E-3	2.98982E-4	-1.240822E-2	3.581739E-4	3.168246E-2
3.103E-3	2.988704E-4	-1.240753E-2	3.58459E-4	3.168286E-2
3.112E-3	2.987587E-4	-1.240683E-2	3.587442E-4	3.168327E-2
3.121E-3	2.98647E-4	-1.240614E-2	3.590293E-4	3.168368E-2
3.13E-3	2.985354E-4	-1.240544E-2	3.593145E-4	3.168409E-2
3.139E-3	2.984237E-4	-1.240474E-2	3.595996E-4	3.168449E-2
3.148E-3	2.983121E-4	-1.240405E-2	3.598848E-4	3.168489E-2
3.157E-3	2.982005E-4	-1.240335E-2	3.6017E-4	3.16853E-2
3.166E-3	2.980888E-4	-1.240265E-2	3.604551E-4	3.16857E-2
3.175E-3	2.979772E-4	-1.240195E-2	3.607403E-4	3.16861E-2
3.184E-3	2.978656E-4	-1.240125E-2	3.610255E-4	3.16865E-2
3.193E-3	2.97754E-4	-1.240055E-2	3.613107E-4	3.16869E-2
3.202E-3	2.976424E-4	-1.239985E-2	3.615959E-4	3.16873E-2
3.211E-3	2.975308E-4	-1.239914E-2	3.61881E-4	3.16877E-2
3.22E-3	2.974192E-4	-1.239844E-2	3.621662E-4	3.168809E-2
3.229E-3	2.973076E-4	-1.239774E-2	3.624514E-4	3.168849E-2
3.238E-3	2.971961E-4	-1.239703E-2	3.627366E-4	3.168888E-2
3.247E-3	2.970845E-4	-1.239633E-2	3.630218E-4	3.168928E-2
3.256E-3	2.969729E-4	-1.239562E-2	3.63307E-4	3.168967E-2
3.265E-3	2.968614E-4	-1.239491E-2	3.635922E-4	3.169006E-2
3.274E-3	2.967498E-4	-1.23942E-2	3.638775E-4	3.169045E-2
3.283E-3	2.966383E-4	-1.23935E-2	3.641627E-4	3.169084E-2
3.292E-3	2.965267E-4	-1.239279E-2	3.644479E-4	3.169123E-2
3.301E-3	2.964152E-4	-1.239207E-2	3.647331E-4	3.169162E-2
3.31E-3	2.963037E-4	-1.239136E-2	3.650183E-4	3.169201E-2
3.319E-3	2.961921E-4	-1.239065E-2	3.653036E-4	3.169239E-2
3.328E-3	2.960806E-4	-1.238994E-2	3.655888E-4	3.169278E-2
3.337E-3	2.959691E-4	-1.238923E-2	3.65874E-4	3.169316E-2
3.346E-3	2.958576E-4	-1.238851E-2	3.661593E-4	3.169355E-2
3.355E-3	2.957461E-4	-1.23878E-2	3.664445E-4	3.169393E-2
3.364E-3	2.956346E-4	-1.238708E-2	3.667298E-4	3.169431E-2
3.373E-3	2.955232E-4	-1.238636E-2	3.67015E-4	3.16947E-2
3.382E-3	2.954117E-4	-1.238565E-2	3.673003E-4	3.169508E-2
3.391E-3	2.953002E-4	-1.238493E-2	3.675855E-4	3.169546E-2
3.4E-3	2.951888E-4	-1.238421E-2	3.678708E-4	3.169584E-2
3.409E-3	2.950773E-4	-1.238349E-2	3.681561E-4	3.169621E-2
3.418E-3	2.949659E-4	-1.238277E-2	3.684413E-4	3.169659E-2
3.427E-3	2.948544E-4	-1.238205E-2	3.687266E-4	3.169697E-2
3.436E-3	2.94743E-4	-1.238132E-2	3.690119E-4	3.169734E-2
3.445E-3	2.946316E-4	-1.23806E-2	3.692971E-4	3.169772E-2
